"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logPVal","significant","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSMUSG00000027342",5613.50205228428,1.52003876755723,0.0516710392606519,29.4176155406798,3.26930813407398e-190,6.35357342775938e-186,185.196981946605,"both","2",132091082,132095234,-1,"protein_coding","Pcna","proliferating cell nuclear antigen [Source:MGI Symbol;Acc:MGI:97503]"
"2","ENSMUSG00000040204",1668.41628354898,3.02858214774887,0.115871320749417,26.1374611781502,1.36848753976875e-150,1.32975934239329e-146,145.876226949806,"both","9",65797519,65810548,1,"protein_coding","Pclaf","PCNA clamp associated factor [Source:MGI Symbol;Acc:MGI:1915276]"
"3","ENSMUSG00000005470",877.807379497505,2.52993771094355,0.100381145911997,25.2033157019499,3.68406505797647e-140,2.38653734455716e-136,135.622231765401,"both","8",84682136,84696826,1,"protein_coding","Asf1b","anti-silencing function 1B histone chaperone [Source:MGI Symbol;Acc:MGI:1914179]"
"4","ENSMUSG00000027326",757.423500509413,2.45708272493826,0.0977925481313216,25.1254596785712,2.62141708922962e-139,1.27361549280221e-135,134.894961666631,"both","2",118877600,118935982,1,"protein_coding","Knl1","kinetochore scaffold 1 [Source:MGI Symbol;Acc:MGI:1923714]"
"5","ENSMUSG00000020649",2250.36807063739,2.66845809798376,0.108449117732879,24.6056229296068,1.09973166852531e-133,4.27443704922419e-130,129.369121074506,"both","12",24758240,24764145,1,"protein_coding","Rrm2","ribonucleotide reductase M2 [Source:MGI Symbol;Acc:MGI:98181]"
"6","ENSMUSG00000041859",2063.88846009671,1.9978601814956,0.0861141441952006,23.2001397699188,4.53844483020376e-119,1.470002280503e-115,114.832681991504,"both","1",20873192,20890536,-1,"protein_coding","Mcm3","minichromosome maintenance complex component 3 [Source:MGI Symbol;Acc:MGI:101845]"
"7","ENSMUSG00000025395",519.060010155801,1.94222441178529,0.0864649469170158,22.4625640914269,9.64581365918352e-112,2.67795346646532e-108,107.572196973789,"both","10",127851037,127865906,1,"protein_coding","Prim1","DNA primase, p49 subunit [Source:MGI Symbol;Acc:MGI:97757]"
"8","ENSMUSG00000032555",2327.37910435261,1.82444968375085,0.0816534326206338,22.3438210151843,1.38660344568061e-110,3.36840642041963e-107,106.472575513521,"both","9",103182414,103227627,1,"protein_coding","Topbp1","topoisomerase (DNA) II binding protein 1 [Source:MGI Symbol;Acc:MGI:1920018]"
"9","ENSMUSG00000022945",451.704211091528,2.28859504368227,0.104137228305096,21.9767232231038,4.80947553661024e-107,1.03852608420537e-103,102.983582591007,"both","16",93680789,93703003,1,"protein_coding","Chaf1b","chromatin assembly factor 1, subunit B (p60) [Source:MGI Symbol;Acc:MGI:1314881]"
"10","ENSMUSG00000022673",1802.45509226811,1.72530198739303,0.0797696981009533,21.6285385110717,9.68016742772937e-104,1.88124373790493e-100,99.7255549326955,"both","16",15441761,15455264,-1,"protein_coding","Mcm4","minichromosome maintenance complex component 4 [Source:MGI Symbol;Acc:MGI:103199]"
